hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 124.594, 124.022, 125.577, 0, 178.104, 187.041, 140.939, 42.9801
0, 1800.00000, 124.819, 124.338, 125.797, 0, 171.973, 176.477, 134.815, 40.1813
0, 2700.00000, 125.13, 124.651, 126.053, 0, 166.018, 171.017, 131.459, 37.8605
1, 0.00000, 124.962, 124.513, 125.935, 0, 170.488, 174.04, 133.038, 39.8949
1, 900.00000, 125.038, 124.606, 126.008, 0, 168.628, 171.539, 131.177, 39.5222
1, 1800.00000, 125.036, 124.6, 125.992, 0, 166.548, 170.003, 129.63, 39.2828
1, 2700.00000, 124.926, 124.473, 125.936, 0, 170.491, 174.653, 130.357, 42.8964
2, 0.00000, 124.898, 124.458, 125.922, 0, 170.074, 173.418, 129.467, 42.9102
2, 900.00000, 125.069, 124.641, 126.052, 0, 165.095, 167.789, 126.692, 40.3319
2, 1800.00000, 124.975, 124.545, 125.988, 0, 167.455, 169.907, 127.485, 41.7737
2, 2700.00000, 125.105, 124.687, 126.082, 0, 162.659, 165.063, 124.505, 39.9116
3, 0.00000, 125.471, 125.071, 126.344, 0, 149.645, 151.896, 116.9, 34.3776
3, 900.00000, 125.372, 124.987, 126.255, 0, 150.828, 151.934, 117.755, 34.0929
3, 1800.00000, 125.426, 125.043, 126.333, 0, 152.144, 153.502, 117.541, 35.7538
3, 2700.00000, 125.101, 124.708, 126.058, 0, 159.8, 160.772, 123.091, 37.698
4, 0.00000, 125.228, 124.832, 126.152, 0, 155.621, 156.989, 120.685, 36.1195
4, 900.00000, 125.449, 125.037, 126.315, 0, 146.267, 148.592, 114.702, 33.251
4, 1800.00000, 125.039, 124.604, 126.021, 0, 160.5, 162.819, 123.271, 38.9702
4, 2700.00000, 125.336, 124.917, 126.254, 0, 149.928, 152.311, 115.427, 36.2245
5, 0.00000, 125.144, 124.709, 126.113, 0, 155.589, 158.159, 118.693, 38.7488
5, 900.00000, 125.149, 124.722, 126.138, 0, 157.593, 160.027, 119.288, 40.0784
5, 1800.00000, 124.988, 124.584, 125.964, 0, 156.195, 157.68, 118.712, 38.7381
5, 2700.00000, 125.061, 124.622, 126.019, 0, 153.823, 156.986, 117.227, 38.7683
6, 0.00000, 125.346, 124.928, 126.263, 0, 146.197, 148.344, 111.405, 36.3657
6, 900.00000, 125.093, 124.639, 126.05, 0, 152.268, 154.703, 116.896, 37.1687
6, 1800.00000, 125.226, 124.723, 126.153, 0, 144.431, 148.563, 111.952, 35.2655
6, 2700.00000, 125.43, 124.955, 126.296, 0, 133.19, 135.848, 104.305, 30.7932
7, 0.00000, 125.157, 124.585, 126.069, 0, 140.306, 146.795, 110.198, 34.4062
7, 900.00000, 125.17, 124.604, 126.083, 0, 138.738, 143.909, 108.516, 33.6851
7, 1800.00000, 125.643, 125.089, 126.549, 0, 123.746, 128.913, 93.9147, 33.2244
7, 2700.00000, 125.68, 125.131, 126.6, 0, 123.346, 128.274, 92.6704, 33.9094
8, 0.00000, 125.396, 124.784, 126.388, 0, 133.623, 141.044, 99.2339, 39.1915
8, 900.00000, 125.795, 125.265, 126.733, 0, 119.266, 122.67, 88.1047, 33.4757
8, 1800.00000, 125.722, 125.2, 126.646, 0, 119.302, 122.148, 89.396, 31.9131
8, 2700.00000, 125.43, 124.866, 126.419, 0, 128.228, 131.976, 95.529, 35.2753
9, 0.00000, 125.144, 124.56, 126.272, 0, 136.527, 140.851, 96.0443, 43.3867
9, 900.00000, 125.16, 124.607, 126.273, 0, 137.467, 140.71, 97.7838, 41.9755
9, 1800.00000, 125.282, 124.654, 126.32, 0, 130.045, 137.662, 94.4799, 40.4883
9, 2700.00000, 125.664, 125.137, 126.672, 0, 116.544, 119.206, 82.1792, 36.245
10, 0.00000, 125.639, 125.071, 126.629, 0, 118.075, 123.494, 84.5205, 37.0557
10, 900.00000, 125.441, 124.87, 126.487, 0, 123.861, 128.947, 87.268, 39.8941
10, 1800.00000, 125.481, 124.923, 126.54, 0, 125.539, 130.189, 88.1187, 40.4608
10, 2700.00000, 125.227, 124.685, 126.341, 0, 135.774, 139.045, 96.1692, 41.9054
11, 0.00000, 125.236, 124.678, 126.33, 0, 137.286, 141.206, 98.619, 41.3453
11, 900.00000, 125.542, 124.912, 126.592, 0, 126.906, 135.66, 89.9048, 42.5933
