hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 1895.08, 906.773, 1512.98, 866.826, 1624.54, 642.818
0, 1800.00000, 1833.2, 874.373, 1457.1, 832.007, 1565.26, 616.019
0, 2700.00000, 1927.92, 844.276, 1561.26, 799.217, 1665.81, 592.739
1, 0.00000, 1969.33, 867.639, 1607.2, 826.659, 1715.42, 615.309
1, 900.00000, 1945.3, 855.516, 1587.14, 814.23, 1694.57, 605.724
1, 1800.00000, 1911.25, 834.966, 1558.55, 793.686, 1662.62, 590.237
1, 2700.00000, 1933.1, 845.004, 1581.04, 808.148, 1684.27, 600.723
2, 0.00000, 1950.73, 855.759, 1593.99, 815.754, 1700.31, 607.308
2, 900.00000, 1911.07, 833.782, 1554.6, 791.527, 1656.9, 588.551
2, 1800.00000, 1940.13, 848.526, 1579.63, 807.695, 1682.98, 600.423
2, 2700.00000, 1812.53, 819.344, 1458.84, 777.27, 1559.95, 576.588
3, 0.00000, 1739.42, 782.185, 1395.52, 737.363, 1493.53, 546.743
3, 900.00000, 1781.34, 804.129, 1433.32, 761.179, 1534.44, 564.237
3, 1800.00000, 1728.57, 781.941, 1385.05, 737.126, 1482.92, 546.839
3, 2700.00000, 1831.96, 835.811, 1474.55, 791.664, 1579.2, 588.994
4, 0.00000, 1804.12, 821.385, 1448.31, 775.487, 1551.35, 576.686
4, 900.00000, 1778.68, 808.147, 1420.67, 757.154, 1522.2, 563.989
4, 1800.00000, 1868.74, 853.595, 1491.49, 801.632, 1596.98, 597.284
4, 2700.00000, 1745.32, 801.119, 1383.06, 749.401, 1481.05, 557.59
5, 0.00000, 1798.06, 827.86, 1426.19, 775.781, 1526.61, 577.941
5, 900.00000, 1773.02, 815.073, 1406.78, 764.515, 1506.13, 568.502
5, 1800.00000, 1698.49, 824.529, 1334.98, 775.17, 1436.68, 577.888
5, 2700.00000, 1686.65, 817.169, 1321.5, 768.249, 1420.82, 571.379
6, 0.00000, 1614.82, 777.598, 1253.36, 727.088, 1345.27, 539.11
6, 900.00000, 1706.15, 823.773, 1311.7, 763.224, 1409.16, 566.249
6, 1800.00000, 1727.95, 833.207, 1308.81, 758.762, 1405.87, 565.39
6, 2700.00000, 1667.76, 807.558, 1244.94, 727.039, 1338.82, 540.927
7, 0.00000, 1757.87, 852.473, 1306.38, 764.026, 1404.78, 569.392
7, 900.00000, 1783.04, 860.113, 1321.3, 771.695, 1414.16, 575.997
7, 1800.00000, 1773.93, 821.75, 1314.65, 721.911, 1402.79, 542.986
7, 2700.00000, 1760.73, 814.436, 1300.72, 712.685, 1387.06, 536.808
8, 0.00000, 1824.24, 843.738, 1352.67, 742.815, 1438.48, 560.71
8, 900.00000, 1751.28, 807.915, 1279.32, 696.004, 1362.28, 527.916
8, 1800.00000, 1790.67, 828.564, 1314.1, 716.204, 1401.29, 543.316
8, 2700.00000, 1973.4, 870.388, 1475.07, 752.904, 1564.63, 572.436
9, 0.00000, 2052.92, 909.073, 1550.22, 793.512, 1639.74, 608.828
9, 900.00000, 2028.69, 898.231, 1532.94, 783.227, 1624.26, 600.098
9, 1800.00000, 2015.05, 891.747, 1521.17, 775.786, 1611.84, 595.101
9, 2700.00000, 1942.14, 853.955, 1456.89, 734.594, 1541.7, 566.124
10, 0.00000, 1934.92, 851.491, 1457.21, 734.362, 1543.24, 566.299
10, 900.00000, 1987.84, 877.646, 1505.01, 763.18, 1592.65, 588.51
10, 1800.00000, 1952.46, 859.332, 1471.59, 741.696, 1557.19, 572.949
10, 2700.00000, 1978.36, 899.852, 1487.23, 783.145, 1582.08, 602.065
11, 0.00000, 1964.77, 890.637, 1473, 774.328, 1564.75, 594.702
11, 900.00000, 1897.04, 855.406, 1418.47, 739.362, 1504.1, 570.34
11, 1800.00000, 1983.28, 905.842, 1511.03, 801.132, 1605.8, 616.259
11, 2700.00000, 1927.08, 876.005, 1465.61, 774.119, 1555.14, 595.183
12, 0.00000, 1876.27, 849.361, 1419.83, 744.674, 1506.05, 573.681
12, 900.00000, 2007.49, 918.47, 1529.7, 813.132, 1625.4, 625.557
12, 1800.00000, 1992.7, 909.275, 1514.83, 805.329, 1608.69, 617.481
12, 2700.00000, 1955.77, 910.221, 1482.58, 803.109, 1580.66, 618.3
13, 0.00000, 1934.87, 895.762, 1448.12, 783.844, 1540.49, 601.714
13, 900.00000, 1984.23, 921.26, 1491.45, 809.049, 1586.86, 622.117
13, 1800.00000, 2019.77, 926.519, 1527.88, 814.731, 1621.53, 628.85
13, 2700.00000, 2192.83, 1019.13, 1664.78, 901.076, 1772.48, 694.289
14, 0.00000, 2145.74, 994.199, 1620.38, 873.882, 1725.78, 672.522
14, 900.00000, 2112.96, 977.977, 1593.89, 857.321, 1699.14, 659.542
14, 1800.00000, 2046.44, 942.841, 1537.97, 821.246, 1637.41, 633.868
14, 2700.00000, 2040.99, 928.623, 1544.23, 811.247, 1639.54, 627.804
15, 0.00000, 2080.35, 947.791, 1565.51, 825.233, 1660.81, 638.566
15, 900.00000, 2013.46, 914.411, 1506.11, 789.534, 1599.38, 610.558
15, 1800.00000, 1989.32, 936.848, 1481.92, 817.897, 1578.8, 630.34
15, 2700.00000, 1969.15, 926.039, 1468.86, 807.804, 1564.37, 623.953
16, 0.00000, 2001.92, 945.739, 1496.6, 828.492, 1596.68, 637.783
16, 900.00000, 1980.76, 937.348, 1482.12, 820.121, 1584.18, 631.271
16, 1800.00000, 1973.19, 932.437, 1482.88, 820.2, 1583.57, 630.924
16, 2700.00000, 1846.54, 907.853, 1356.52, 794.987, 1453.11, 610.103
17, 0.00000, 1892.05, 931.479, 1400.71, 822.36, 1500.25, 630.571
17, 900.00000, 1852.04, 912.138, 1398.22, 819.302, 1496.23, 629.026
17, 1800.00000, 1827.19, 905.033, 1395.74, 829.432, 1492.05, 632.325
17, 2700.00000, 1812.54, 899.638, 1397.81, 831.642, 1495.4, 633.365
18, 0.00000, 1780.25, 884.116, 1380.63, 825.474, 1477.37, 624.812
18, 900.00000, 1904.87, 956.992, 1510.55, 911.489, 1622.16, 688.211
18, 1800.00000, 1902.69, 956.835, 1514.03, 916.025, 1625.22, 690.609
18, 2700.00000, 1930.28, 968.266, 1544.09, 930.618, 1656.75, 701.836
19, 0.00000, 1979.11, 996.728, 1590.97, 962.769, 1710.39, 724.102
19, 900.00000, 1940.03, 976.275, 1563.45, 945.757, 1681.14, 710.116
19, 1800.00000, 1975.16, 992.009, 1599.42, 962.858, 1719.48, 724.421
19, 2700.00000, 2034.25, 1027.94, 1642.7, 990.222, 1772.93, 746.281
20, 0.00000, 1995.88, 1004.01, 1611.89, 970.991, 1734.49, 730.996
20, 900.00000, 2069.62, 1050.08, 1667.2, 1008.45, 1805.1, 758.025
20, 1800.00000, 1999.91, 1006.88, 1612.18, 973.567, 1737.65, 729.998
20, 2700.00000, 2094.28, 1023.75, 1699.83, 985.612, 1829.15, 741.097
21, 0.00000, 2172.7, 1062.99, 1757.57, 1023.71, 1887.38, 770.094
21, 900.00000, 2091.78, 1016.53, 1684.86, 972.755, 1809.21, 731.936
21, 1800.00000, 2119.96, 1006.95, 1712.32, 963.514, 1832.18, 724.991
21, 2700.00000, 2114.73, 1006.29, 1710.79, 960.53, 1833.16, 724.602
22, 0.00000, 2048.53, 967.971, 1653.32, 924.708, 1767.24, 696.283
22, 900.00000, 2072.51, 980.264, 1679.56, 943.097, 1793.78, 708.849
22, 1800.00000, 2077.9, 984.234, 1688.6, 949.089, 1804.07, 713.507
22, 2700.00000, 2015.18, 956.608, 1621.47, 913.578, 1734.12, 686.569
